,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
0,Robert De Niro,['(1943-08-17)'],"['Actor, producer, director']","['Diahnne Abbott(m.\xa01976; div.\xa01988)', 'Grace Hightower(m.\xa01997; separated\xa02018)']",Diahnne Abbott(m. 1976; div. 1988),Grace Hightower(m. 1997; separated 2018),None,None
1,Jack Nicholson,['(1937-04-22)'],"['Actor, director, producer, screenwriter']",['Sandra Knight(m.\xa01962; div.\xa01968)'],Sandra Knight(m. 1962; div. 1968),None,None,None
2,Tom Hanks,['(1956-07-09)'],"['Actor, filmmaker']","['Samantha Lewes(m.\xa01978; div.\xa01987)', 'Rita Wilson (m.\xa01988)']",Samantha Lewes(m. 1978; div. 1987),Rita Wilson (m. 1988),None,None
3,Marlon Brando,"['(1924-04-03)', '(2004-07-01)']","['Actor, film director, activist']","['Anna Kashfi(m.\xa01957; div.\xa01959)', 'Movita Castaneda(m.\xa01960; div.\xa01962)', 'Tarita Teriipaia(m.\xa01962; div.\xa01972)']",Anna Kashfi(m. 1957; div. 1959),Movita Castaneda(m. 1960; div. 1962),Tarita Teriipaia(m. 1962; div. 1972),None
4,Leonardo DiCaprio,['(1974-11-11)'],['Actor\nFilm producer with Appian Way Productions'],[],Never married,None,None,None
5,Humphrey Bogart,"['(1899-12-25)', '(1957-01-14)']",['Actor'],"['Helen Menken(m.\xa01926; div.\xa01927)', 'Mary Philips(m.\xa01928; div.\xa01937)', 'Mayo Methot(m.\xa01938; div.\xa01945)', 'Lauren Bacall (m.\xa01945)']",Helen Menken(m. 1926; div. 1927),Mary Philips(m. 1928; div. 1937),Mayo Methot(m. 1938; div. 1945),Lauren Bacall (m. 1945)
6,Johnny Depp,['(1963-06-09)'],"['Actor, producer, musician']","['Lori Allison(m.\xa01983; div.\xa01985)', 'Amber Heard(m.\xa02015; div.\xa02017)']",Lori Allison(m. 1983; div. 1985),Amber Heard(m. 2015; div. 2017),None,None
7,Al Pacino,['(1940-04-25)'],['Actor\nfilmmaker'],[],Never married,None,None,None
8,Denzel Washington,['(1954-12-28)'],['Actor\ndirector\nproducer'],['Pauletta Pearson (m.\xa01983)'],Pauletta Pearson (m. 1983),None,None,None
9,Brad Pitt,['(1963-12-18)'],['Actorfilm producer'],"['Jennifer Aniston(m.\xa02000; div.\xa02005)', 'Angelina Jolie(m.\xa02014; sep.\xa02016)']",Jennifer Aniston(m. 2000; div. 2005),Angelina Jolie(m. 2014; sep. 2016),None,None
10,Daniel Day-Lewis,['(1957-04-29)'],['Actor'],['Rebecca Miller (m.\xa01996)'],Rebecca Miller (m. 1996),None,None,None
11,Tom Cruise,['(1962-07-03)'],"['Actor, producer']","['Mimi Rogers(m.\xa01987; div.\xa01990)', 'Nicole Kidman(m.\xa01990; div.\xa02001)', 'Katie Holmes(m.\xa02006; div.\xa02012)']",Mimi Rogers(m. 1987; div. 1990),Nicole Kidman(m. 1990; div. 2001),Katie Holmes(m. 2006; div. 2012),None
12,Dustin Hoffman,['(1937-08-08)'],"['Actor, film director']","['Anne Byrne(m.\xa01969; div.\xa01980)', 'Lisa Gottsegen (m.\xa01980)']",Anne Byrne(m. 1969; div. 1980),Lisa Gottsegen (m. 1980),None,None
13,Clark Gable,"['(1901-02-01)', '(1960-11-16)']",['Actor'],"['Josephine Dillon(m.\xa01924; div.\xa01930)', 'Maria Langham(m.\xa01931; div.\xa01939)', 'Carole Lombard(m.\xa01939; died\xa01942)', 'Sylvia Ashley(m.\xa01949; div.\xa01952)', 'Kay Williams (m.\xa01955)']",Josephine Dillon(m. 1924; div. 1930),Maria Langham(m. 1931; div. 1939),Carole Lombard(m. 1939; died 1942),Sylvia Ashley(m. 1949; div. 1952)
14,Sean Penn,['(1960-08-17)'],"['Actor, filmmaker']","['Madonna(m.\xa01985; div.\xa01989)', 'Robin Wright(m.\xa01996; div.\xa02010)']",Madonna(m. 1985; div. 1989),Robin Wright(m. 1996; div. 2010),None,None
15,Christian Bale,['(1974-01-30)'],['Actor'],['Sandra Blažić (m.\xa02000)'],Sandra Blažić (m. 2000),None,None,None
16,Gregory Peck,"['(1916-04-05)', '(2003-06-12)']",['Actor'],"['Greta Kukkonen(m.\xa01942; div.\xa01955)', 'Veronique Passani (m.\xa01955)']",Greta Kukkonen(m. 1942; div. 1955),Veronique Passani (m. 1955),None,None
17,Sidney Poitier,['(1927-02-20)'],"['Actor, director, author, diplomat']","['Juanita Hardy (m.\xa01950–1965)', 'Joanna Shimkus (m.\xa01976)']",Juanita Hardy (m. 1950–1965),Joanna Shimkus (m. 1976),None,None
18,Harrison Ford,['(1942-07-13)'],['Actorproducer'],"['Mary Marquardt(m.\xa01964; div.\xa01979)', 'Melissa Mathison(m.\xa01983; div.\xa02004)', 'Calista Flockhart (m.\xa02010)']",Mary Marquardt(m. 1964; div. 1979),Melissa Mathison(m. 1983; div. 2004),Calista Flockhart (m. 2010),None
19,Spencer Tracy,"['(1900-04-05)', '(1967-06-10)']",['Actor'],['Louise Treadwell (m.\xa01923)'],Louise Treadwell (m. 1923),None,None,None
20,George Clooney,['(1961-05-06)'],"['Actor, screenwriter, producer with Smoke House Pictures, director']","['Talia Balsam(m.\xa01989; div.\xa01993)', 'Amal Alamuddin (m.\xa02014)']",Talia Balsam(m. 1989; div. 1993),Amal Alamuddin (m. 2014),None,None
21,Charlton Heston,"['(1923-10-04)', '(2008-04-05)']","['Actor, activist']",['Lydia Clarke (m.\xa01944)'],Lydia Clarke (m. 1944),None,None,None
22,Morgan Freeman,['(1937-06-01)'],['Actor'],"['Jeanette Adair Bradshaw(m.\xa01967; div.\xa01979)', 'Myrna Colley-Lee(m.\xa01984; div.\xa02010)']",Jeanette Adair Bradshaw(m. 1967; div. 1979),Myrna Colley-Lee(m. 1984; div. 2010),None,None
